Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay
"Method B (average, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0
"Method B (average, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, median)",416,0.5807962529274004,0.0,0.0,0.0,0.04247104247104247,374.0
"Method B (median, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0
"Method B (median, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0
"Method B (outlier_detection, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, median)",416,0.594847775175644,0.0,0.0,0.0,0.019305019305019305,374.0
